Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
274.00,0.00065002,0.00028550,3502.6,42.806,45.082,164.53,25.565,33.962,409.61,576.97,8.9698,0.016815,vapor
275.00,0.00069845,0.00030567,3271.5,42.830,45.115,164.06,25.580,33.980,410.33,558.89,8.9986,0.016879,vapor
276.00,0.00075006,0.00032707,3057.5,42.855,45.148,163.59,25.595,33.998,411.05,541.41,9.0275,0.016944,vapor
277.00,0.00080501,0.00034977,2859.0,42.880,45.181,163.12,25.610,34.017,411.77,524.52,9.0566,0.017008,vapor
278.00,0.00086349,0.00037385,2674.9,42.905,45.214,162.65,25.626,34.035,412.49,508.21,9.0858,0.017074,vapor
279.00,0.00092569,0.00039935,2504.0,42.930,45.247,162.19,25.641,34.054,413.21,492.46,9.1152,0.017139,vapor
280.00,0.00099182,0.00042637,2345.4,42.954,45.280,161.74,25.657,34.073,413.92,477.26,9.1447,0.017204,vapor
281.00,0.0010621,0.00045497,2198.0,42.979,45.313,161.29,25.672,34.092,414.64,462.58,9.1743,0.017270,vapor
282.00,0.0011367,0.00048522,2060.9,43.004,45.346,160.84,25.688,34.111,415.35,448.41,9.2041,0.017336,vapor
283.00,0.0012159,0.00051722,1933.4,43.028,45.379,160.40,25.704,34.131,416.06,434.73,9.2339,0.017402,vapor
284.00,0.0012999,0.00055103,1814.8,43.053,45.412,159.96,25.720,34.150,416.77,421.54,9.2640,0.017469,vapor
285.00,0.0013890,0.00058676,1704.3,43.078,45.445,159.52,25.736,34.170,417.48,408.81,9.2941,0.017535,vapor
286.00,0.0014835,0.00062448,1601.3,43.102,45.478,159.09,25.752,34.190,418.18,396.54,9.3243,0.017602,vapor
287.00,0.0015835,0.00066429,1505.4,43.127,45.511,158.67,25.768,34.209,418.89,384.70,9.3547,0.017669,vapor
288.00,0.0016894,0.00070629,1415.8,43.152,45.544,158.24,25.784,34.230,419.59,373.28,9.3852,0.017737,vapor
289.00,0.0018015,0.00075057,1332.3,43.176,45.577,157.82,25.800,34.250,420.29,362.26,9.4158,0.017804,vapor
290.00,0.0019200,0.00079724,1254.3,43.201,45.609,157.41,25.816,34.270,420.99,351.65,9.4466,0.017872,vapor
291.00,0.0020453,0.00084641,1181.5,43.226,45.642,156.99,25.832,34.291,421.69,341.41,9.4774,0.017940,vapor
292.00,0.0021778,0.00089818,1113.4,43.250,45.675,156.59,25.849,34.311,422.38,331.54,9.5083,0.018008,vapor
293.00,0.0023177,0.00095266,1049.7,43.275,45.708,156.18,25.865,34.332,423.08,322.03,9.5394,0.018077,vapor
294.00,0.0024654,0.0010100,990.12,43.299,45.740,155.78,25.882,34.353,423.77,312.85,9.5705,0.018146,vapor
295.00,0.0026212,0.0010703,934.36,43.324,45.773,155.38,25.898,34.374,424.46,304.01,9.6018,0.018214,vapor
296.00,0.0027856,0.0011336,882.14,43.348,45.806,154.99,25.915,34.396,425.15,295.49,9.6332,0.018284,vapor
297.00,0.0029590,0.0012002,833.22,43.373,45.838,154.60,25.932,34.417,425.84,287.27,9.6646,0.018353,vapor
298.00,0.0031417,0.0012701,787.36,43.397,45.871,154.21,25.948,34.439,426.52,279.35,9.6962,0.018423,vapor
299.00,0.0033342,0.0013434,744.36,43.422,45.904,153.82,25.965,34.461,427.21,271.71,9.7278,0.018493,vapor
300.00,0.0035368,0.0014204,704.01,43.446,45.936,153.44,25.982,34.483,427.89,264.35,9.7596,0.018563,vapor
301.00,0.0037501,0.0015012,666.13,43.471,45.969,153.07,25.999,34.505,428.57,257.25,9.7914,0.018633,vapor
302.00,0.0039745,0.0015859,630.56,43.495,46.001,152.69,26.017,34.527,429.25,250.41,9.8233,0.018704,vapor
303.00,0.0042105,0.0016746,597.15,43.520,46.034,152.32,26.034,34.550,429.93,243.81,9.8553,0.018775,vapor
304.00,0.0044586,0.0017676,565.74,43.544,46.066,151.95,26.051,34.573,430.61,237.45,9.8874,0.018846,vapor
305.00,0.0047193,0.0018650,536.20,43.568,46.099,151.59,26.069,34.596,431.28,231.32,9.9196,0.018918,vapor
306.00,0.0049932,0.0019669,508.42,43.593,46.131,151.23,26.086,34.620,431.95,225.40,9.9519,0.018989,vapor
307.00,0.0052807,0.0020735,482.27,43.617,46.164,150.87,26.104,34.643,432.62,219.69,9.9842,0.019061,vapor
308.00,0.0055825,0.0021851,457.65,43.641,46.196,150.51,26.122,34.667,433.29,214.18,10.017,0.019133,vapor
309.00,0.0058991,0.0023017,434.45,43.666,46.229,150.16,26.140,34.691,433.96,208.87,10.049,0.019206,vapor
310.00,0.0062311,0.0024237,412.60,43.690,46.261,149.81,26.158,34.716,434.63,203.74,10.082,0.019279,vapor
311.00,0.0065792,0.0025510,392.00,43.714,46.293,149.46,26.177,34.741,435.29,198.80,10.114,0.019351,vapor
312.00,0.0069440,0.0026841,372.56,43.738,46.325,149.12,26.195,34.766,435.95,194.02,10.147,0.019425,vapor
313.00,0.0073261,0.0028230,354.23,43.763,46.358,148.78,26.214,34.791,436.61,189.41,10.180,0.019498,vapor
314.00,0.0077262,0.0029680,336.93,43.787,46.390,148.44,26.233,34.817,437.27,184.96,10.213,0.019572,vapor
315.00,0.0081451,0.0031193,320.58,43.811,46.422,148.10,26.252,34.843,437.93,180.66,10.246,0.019646,vapor
316.00,0.0085834,0.0032771,305.15,43.835,46.454,147.77,26.271,34.870,438.58,176.51,10.279,0.019721,vapor
317.00,0.0090418,0.0034416,290.56,43.859,46.486,147.44,26.291,34.897,439.24,172.50,10.312,0.019795,vapor
318.00,0.0095212,0.0036131,276.77,43.883,46.518,147.11,26.310,34.924,439.89,168.62,10.345,0.019870,vapor
319.00,0.010022,0.0037917,263.73,43.907,46.550,146.79,26.330,34.952,440.54,164.87,10.378,0.019945,vapor
320.00,0.010546,0.0039778,251.39,43.931,46.582,146.47,26.350,34.980,441.18,161.25,10.411,0.020021,vapor
321.00,0.011093,0.0041716,239.72,43.955,46.614,146.15,26.371,35.008,441.83,157.75,10.445,0.020097,vapor
322.00,0.011664,0.0043733,228.66,43.979,46.646,145.83,26.392,35.037,442.47,154.37,10.478,0.020173,vapor
323.00,0.012260,0.0045832,218.19,44.003,46.678,145.52,26.413,35.067,443.11,151.09,10.511,0.020249,vapor
324.00,0.012882,0.0048015,208.27,44.027,46.710,145.21,26.434,35.097,443.75,147.92,10.545,0.020326,vapor
325.00,0.013531,0.0050285,198.87,44.051,46.742,144.90,26.456,35.127,444.39,144.85,10.578,0.020403,vapor
326.00,0.014208,0.0052645,189.95,44.074,46.773,144.59,26.477,35.158,445.02,141.89,10.612,0.020480,vapor
327.00,0.014914,0.0055098,181.49,44.098,46.805,144.29,26.500,35.190,445.66,139.01,10.646,0.020558,vapor
328.00,0.015649,0.0057647,173.47,44.122,46.837,143.98,26.522,35.222,446.29,136.23,10.679,0.020636,vapor
329.00,0.016415,0.0060294,165.86,44.146,46.868,143.68,26.545,35.254,446.92,133.53,10.713,0.020714,vapor
330.00,0.017213,0.0063042,158.62,44.169,46.900,143.39,26.568,35.287,447.54,130.92,10.747,0.020793,vapor
331.00,0.018044,0.0065895,151.76,44.193,46.931,143.09,26.592,35.321,448.17,128.39,10.781,0.020872,vapor
332.00,0.018909,0.0068855,145.23,44.217,46.963,142.80,26.616,35.355,448.79,125.94,10.815,0.020951,vapor
333.00,0.019808,0.0071927,139.03,44.240,46.994,142.51,26.640,35.390,449.41,123.56,10.848,0.021031,vapor
334.00,0.020744,0.0075112,133.13,44.264,47.026,142.22,26.665,35.426,450.03,121.25,10.882,0.021111,vapor
335.00,0.021718,0.0078415,127.53,44.287,47.057,141.94,26.690,35.462,450.64,119.01,10.916,0.021191,vapor
336.00,0.022730,0.0081838,122.19,44.311,47.088,141.65,26.715,35.499,451.26,116.84,10.950,0.021272,vapor
337.00,0.023781,0.0085385,117.12,44.334,47.119,141.37,26.741,35.536,451.87,114.73,10.984,0.021353,vapor
338.00,0.024874,0.0089061,112.28,44.357,47.150,141.09,26.767,35.574,452.47,112.69,11.019,0.021435,vapor
339.00,0.026009,0.0092867,107.68,44.381,47.181,140.82,26.794,35.613,453.08,110.70,11.053,0.021517,vapor
340.00,0.027188,0.0096808,103.30,44.404,47.212,140.54,26.821,35.653,453.68,108.77,11.087,0.021599,vapor
341.00,0.028411,0.010089,99.120,44.427,47.243,140.27,26.848,35.693,454.28,106.89,11.121,0.021681,vapor
342.00,0.029681,0.010511,95.139,44.451,47.274,140.00,26.876,35.734,454.88,105.07,11.155,0.021764,vapor
343.00,0.030999,0.010948,91.343,44.474,47.305,139.73,26.905,35.776,455.48,103.30,11.190,0.021848,vapor
344.00,0.032366,0.011400,87.722,44.497,47.336,139.46,26.934,35.818,456.07,101.58,11.224,0.021931,vapor
345.00,0.033783,0.011867,84.269,44.520,47.367,139.20,26.963,35.862,456.67,99.902,11.258,0.022016,vapor
346.00,0.035253,0.012350,80.973,44.543,47.397,138.94,26.993,35.906,457.25,98.272,11.293,0.022100,vapor
347.00,0.036776,0.012849,77.827,44.566,47.428,138.68,27.024,35.951,457.84,96.686,11.327,0.022185,vapor
348.00,0.038354,0.013365,74.823,44.589,47.459,138.42,27.054,35.997,458.42,95.143,11.361,0.022270,vapor
349.00,0.039989,0.013898,71.954,44.612,47.489,138.16,27.086,36.043,459.01,93.641,11.396,0.022356,vapor
350.00,0.041682,0.014448,69.213,44.634,47.519,137.91,27.118,36.091,459.58,92.178,11.430,0.022442,vapor
351.00,0.043435,0.015017,66.593,44.657,47.550,137.65,27.150,36.139,460.16,90.753,11.465,0.022529,vapor
352.00,0.045249,0.015603,64.089,44.680,47.580,137.40,27.183,36.189,460.73,89.365,11.499,0.022616,vapor
353.00,0.047127,0.016209,61.695,44.703,47.610,137.15,27.217,36.239,461.30,88.012,11.534,0.022704,vapor
354.00,0.049070,0.016834,59.405,44.725,47.640,136.90,27.251,36.290,461.87,86.694,11.568,0.022792,vapor
355.00,0.051080,0.017478,57.214,44.748,47.670,136.66,27.286,36.342,462.44,85.409,11.603,0.022880,vapor
356.00,0.053158,0.018143,55.118,44.770,47.700,136.42,27.321,36.395,463.00,84.155,11.637,0.022969,vapor
357.00,0.055307,0.018829,53.111,44.793,47.730,136.17,27.357,36.449,463.56,82.933,11.672,0.023058,vapor
358.00,0.057527,0.019535,51.189,44.815,47.760,135.93,27.394,36.504,464.12,81.740,11.707,0.023148,vapor
359.00,0.059822,0.020264,49.349,44.837,47.790,135.69,27.431,36.560,464.67,80.576,11.741,0.023238,vapor
360.00,0.062194,0.021014,47.586,44.860,47.819,135.46,27.469,36.617,465.22,79.440,11.776,0.023329,vapor
361.00,0.064643,0.021788,45.897,44.882,47.849,135.22,27.507,36.675,465.77,78.331,11.811,0.023420,vapor
362.00,0.067172,0.022584,44.278,44.904,47.878,134.99,27.546,36.735,466.32,77.249,11.845,0.023512,vapor
363.00,0.069783,0.023405,42.726,44.926,47.908,134.76,27.586,36.795,466.86,76.191,11.880,0.023604,vapor
364.00,0.072478,0.024249,41.238,44.948,47.937,134.52,27.626,36.856,467.40,75.157,11.915,0.023697,vapor
365.00,0.075260,0.025119,39.810,44.970,47.966,134.30,27.667,36.919,467.93,74.148,11.949,0.023790,vapor
366.00,0.078129,0.026014,38.441,44.992,47.995,134.07,27.709,36.982,468.47,73.161,11.984,0.023884,vapor
367.00,0.081090,0.026935,37.127,45.014,48.024,133.84,27.752,37.047,469.00,72.196,12.019,0.023978,vapor
368.00,0.084142,0.027882,35.865,45.036,48.053,133.62,27.795,37.113,469.53,71.252,12.053,0.024073,vapor
369.00,0.087290,0.028857,34.654,45.057,48.082,133.40,27.839,37.180,470.05,70.330,12.088,0.024169,vapor
370.00,0.090535,0.029859,33.491,45.079,48.111,133.17,27.883,37.249,470.57,69.427,12.123,0.024265,vapor
371.00,0.093880,0.030889,32.374,45.101,48.140,132.95,27.929,37.318,471.09,68.544,12.157,0.024361,vapor
372.00,0.097326,0.031949,31.300,45.122,48.168,132.74,27.975,37.389,471.61,67.679,12.192,0.024458,vapor
373.00,0.10088,0.033038,30.269,45.143,48.197,132.52,28.022,37.462,472.12,66.833,12.227,0.024556,vapor
374.00,0.10453,0.034156,29.277,45.165,48.225,132.30,28.069,37.535,472.63,66.004,12.262,0.024654,vapor
